"COUNTRY","Country","SEX","Gender","REF_SECTOR","Reference sector","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2020","2020",191936,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2021","2021",194035,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2013","2013",394501,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2014","2014",386231,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2015","2015",387053,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2016","2016",385706,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2017","2017",383805,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2018","2018",382132,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2019","2019",387425,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2020","2020",383991,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2021","2021",389412,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2013","2013",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2014","2014",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2015","2015",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2016","2016",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2017","2017",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2018","2018",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2019","2019",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2020","2020",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2021","2021",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2013","2013",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2014","2014",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2015","2015",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2016","2016",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2017","2017",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2018","2018",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2019","2019",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2020","2020",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2021","2021",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2013","2013",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2014","2014",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2015","2015",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2016","2016",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2017","2017",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2018","2018",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2019","2019",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2020","2020",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2021","2021",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2013","2013",72975,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2014","2014",78087,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2015","2015",82495,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2016","2016",82093,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2017","2017",98646,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2018","2018",106481,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2019","2019",108528,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2020","2020",114213,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2021","2021",114342,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2013","2013",54207,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2014","2014",59700,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2015","2015",63609,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2016","2016",65996,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2017","2017",80351,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2018","2018",88433,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2019","2019",94695,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2020","2020",102987,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2021","2021",99885,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2013","2013",127182,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2014","2014",137787,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2015","2015",146104,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2016","2016",148089,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2017","2017",178997,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2018","2018",194914,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2019","2019",203223,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2020","2020",217200,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_5","Short-cycle tertiary education","2021","2021",214227,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2013","2013",120711,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2014","2014",121664,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2015","2015",126850,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2016","2016",123274,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2017","2017",120048,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2018","2018",120456,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2019","2019",126168,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2020","2020",128526,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2021","2021",131052,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2013","2013",78693,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2014","2014",79835,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2015","2015",84574,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2016","2016",82606,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2017","2017",81534,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2018","2018",82695,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2019","2019",84654,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2020","2020",86178,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2021","2021",88140,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2013","2013",199404,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2014","2014",201499,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2015","2015",211424,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2016","2016",205880,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2017","2017",201582,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2018","2018",203151,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2019","2019",210822,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2020","2020",214704,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_6","Bachelor’s or equivalent level","2021","2021",219192,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2013","2013",29514,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2014","2014",29772,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2015","2015",31018,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2016","2016",33069,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2017","2017",35624,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2018","2018",36786,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2019","2019",38406,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2020","2020",39846,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2021","2021",40242,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2013","2013",23205,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2014","2014",23646,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2015","2015",24739,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2016","2016",25746,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2017","2017",27312,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2018","2018",28008,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2019","2019",29646,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2020","2020",30753,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2021","2021",30849,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2013","2013",52719,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2014","2014",53418,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2015","2015",55757,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2016","2016",58815,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2017","2017",62936,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2018","2018",64794,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2019","2019",68052,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2020","2020",70599,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_7","Master’s or equivalent level","2021","2021",71091,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2013","2013",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2014","2014",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2015","2015",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2016","2016",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2017","2017",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2018","2018",,"o","Missing value"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2019","2019",5616,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2020","2020",5664,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2021","2021",5715,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2013","2013",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2014","2014",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2015","2015",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2016","2016",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2017","2017",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2018","2018",,"o","Missing value"
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2019","2019",3999,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2020","2020",4005,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2021","2021",3777,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2013","2013",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2014","2014",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2015","2015",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2016","2016",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2017","2017",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2018","2018",,"o","Missing value"
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2019","2019",9615,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2020","2020",9669,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_746_756_766","Master’s or equivalent level, long first degree (at least 5 years)","2021","2021",9492,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2013","2013",3186,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2014","2014",3249,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2015","2015",3416,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2016","2016",3613,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2017","2017",3767,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2018","2018",3923,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2019","2019",3660,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2020","2020",3678,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2021","2021",3552,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2013","2013",3873,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2014","2014",3942,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2015","2015",4130,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2016","2016",4154,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2017","2017",4236,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2018","2018",4325,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2019","2019",4203,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2020","2020",4224,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2021","2021",3834,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2013","2013",7059,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2014","2014",7191,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2015","2015",7546,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2016","2016",7767,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2017","2017",8003,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2018","2018",8248,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2019","2019",7863,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2020","2020",7902,,
"CAN","Canada","_T","Total","INST_T","All public and private educational institutions","ISCED11_8","Doctoral or equivalent level","2021","2021",7386,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2013","2013",50811,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2014","2014",52550,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2015","2015",53415,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2016","2016",53509,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2017","2017",54059,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2018","2018",56191,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2019","2019",50738,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2020","2020",48184,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2021","2021",49920,,
"FIN","Finland","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2013","2013",42972,,
"FIN","Finland","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2014","2014",43812,,
"FIN","Finland","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2015","2015",44706,,
"FIN","Finland","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2016","2016",43746,,
"FIN","Finland","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2017","2017",44791,,
"FIN","Finland","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2018","2018",44227,,
"FIN","Finland","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2019","2019",41195,,
"FIN","Finland","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2020","2020",38244,,
"FIN","Finland","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2021","2021",40027,,
"FIN","Finland","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2013","2013",93783,,
"FIN","Finland","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2014","2014",96362,,
"FIN","Finland","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2015","2015",98121,,
"FIN","Finland","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2016","2016",97255,,
"FIN","Finland","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2017","2017",98850,,
"FIN","Finland","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2018","2018",100418,,
"FIN","Finland","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2019","2019",91933,,
"FIN","Finland","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2020","2020",86428,,
"FIN","Finland","_T","Total","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2021","2021",89947,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2013","2013",3152,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2014","2014",3019,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2015","2015",3050,,
"FIN","Finland","F","Female","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2016","2016",3558,,
